IGSR population	SGDP population	new SGDP population	Superpopulation	meta_subpopulation	Notes
Papuan	Papuan	Papuan	OCE	Papuan	
Papuan Sepik			OCE	Papuan Sepik	
Papuan,Papuan Highlands			OCE	Papuan Highlands	
Papuan,Papuan Sepik			OCE	Papuan Sepik	
Pathan	Pathan	Pathan	CSA	Pathan	
Pathan,Pathan			CSA	Pathan	
Peruvian			AMR	Peruvian	
Piapoco	Piapoco	Piapoco	EAS	Piapoco	
Pima	Pima	Pima	EAS	Pima	
Polish	Polish	Polish	EUR	Polish	
Puerto Rican			AMR	Puerto Rican	
Punjabi	Punjabi	Punjabi	CSA	Punjabi	
Punjabi,Punjabi			CSA	Punjabi,Punjabi	
Quechua	Quechua	Quechua	EAS	Quechua	
Relli	Relli	Relli	CSA	Relli	
Russian	Russian	Russian	EUR	Russian	
Saami	Saami		EUR	Saami	
Saharawi	Saharawi	Saharawi	AFR	Saharawi	
Samaritan	Samaritan	Samaritan	MID	Samaritan	
San			AFR	San	
Sardinian	Sardinian	Sardinian	EUR	Sardinian	
She	She	She	EAS	She	
Sindhi	Sindhi	Sindhi	CSA	Sindhi	
Somali	Somali	Somali	AFR	Somali	
Southern Han Chinese			EAS	Southern Han	
Surui	Surui	Surui	EAS	Surui	
Tajik	Tajik	Tajik	CSA	Tajik	
Tamil			CSA	Tamil	
Telugu			CSA	Telugu	
Thai	Thai	Thai	EAS	Thai	
Tlingit	Tlingit	Tlingit	EAS	Tlingit	
Toscani			EUR	Toscani	
Tu	Tu	Tu	EAS	Tu	
Tubalar	Tubalar	Tubalar	CSA	Tubalar	
Tujia	Tujia	Tujia	EAS	Tujia	
Turkish	Turkish	Turkish	MID	Turkish	
Tuscan	Tuscan	Tuscan	EUR	Tuscan	
Ulchi	Ulchi	Ulchi	EAS	Ulchi	
Uygur	Uygur	Uygur	CSA	Uygur	
Xibo	Xibo	Xibo	EAS	Xibo	
Yadava	Yadava	Yadava	CSA	Yadava	
Yakut	Yakut	Yakut	EAS	Yakut	
Yemenite Jew	Yemenite_Jew	Yemenite_Jew	MID	Yemenite_Jew	
Yi	Yi	Yi	EAS	Yi	
Yoruba	Yoruba	Yoruba	AFR	Yoruba	
Zapotec	Zapotec	Zapotec	EAS	Zapotec	
	Chipewyan		EAS	Chipewyan	
	Cree		EAS	Cree	
	Gambian	Gambian	AFR	Gambian	
	Igbo		AFR	Igbo	
	Kashmiri_Pandit		CSA	Kashmiri_Pandit	
	Kharia		CSA	Kharia	
	Kongo		AFR	Kongo	
	Kurumba		CSA	Kurumba	
	Lemande		AFR	Lemande	
	Mala	Mala	CSA	Mala	
	Nahua		EAS	Nahua	
	Onge		CSA	Onge	
	Sherpa		EAS	Sherpa	
	Tibetan		EAS	Tibetan	
